"Provincia","Region","Organización Política","Votos","% Votos","Total_electores","total_electores_mujeres","total_electores_jovenes","porcentaje_mujeres","porcentaje_jovenes","Ubigeo","IDH","% Pobreza Extrema","PE_Hab"
"OTUZCO","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",9160,0.3053,70001,34112,22318,48.7307324181083,31.882401679976,"130600","0.278322949710468","27.671671843096501","28253.607101956801"
"OXAPAMPA","PASCO","PARTIDO POLITICO NACIONAL PERU LIBRE",5618,0.185,73204,34725,25138,47.435932462707,34.3396535708431,"190300","0.42782213065428998","22.3794629869296","25698.784937150998"
"OYON","LIMA","PARTIDO POLITICO NACIONAL PERU LIBRE",1338,0.22,12680,6390,3757,50.3943217665615,29.6293375394322,"150900","0.57702007433688196","3.5541100544208901","651.50391407589302"
"PACASMAYO","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",5740,0.1298,79510,40331,22146,50.7244371777135,27.8531002389637,"130700","0.57922443766549003","2.59242131849008","2858.45559419353"
"PACHITEA","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",11546,0.6147,41304,20436,16494,49.4770482277746,39.9331783846601,"100800","0.27313445048064999","30.9177246593378","19741.276372233799"
"PADRE ABAD","UCAYALI","PARTIDO POLITICO NACIONAL PERU LIBRE",7617,0.3388,49884,22016,17218,44.1343917889504,34.5160772993345,"250300","0.43860530397535802","1.0859254472142701","861.964182980798"
"PAITA","PIURA","PARTIDO POLITICO NACIONAL PERU LIBRE",3280,0.0614,90998,45090,29202,49.5505395722983,32.0908151827513,"200500","0.54765632852582202","3.4276562438626899","4769.5151102100599"
"PALLASCA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",2176,0.3044,17919,9012,5509,50.2929850996149,30.7439031195937,"021500","0.32717429468472398","11.8680851689035","3148.1282719033502"
"PALPA","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",969,0.1456,12074,5703,3043,47.2337253602783,25.2029153553089,"110400","0.60755571170231804","2.17115336770603E-3","0.34955569220067101"
"PARINACOCHAS","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",4208,0.5205,18018,9339,5352,51.8315018315018,29.7036297036297,"050700","0.41744346365725998","22.078254236005598","5765.5153111905001"
"PARURO","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",4586,0.3957,24691,11776,7970,47.6934915556276,32.2789680450367,"081000","0.24839508922803799","13.584518917812201","4540.6254482787399"
"PASCO","PASCO","PARTIDO POLITICO NACIONAL PERU LIBRE",22179,0.3847,103273,50165,30917,48.5751358050991,29.9371568560999,"190100","0.545533872036433","12.4788321220088","18251.789438292599"
"PATAZ","LA LIBERTAD","PARTIDO POLITICO NACIONAL PERU LIBRE",5479,0.2587,53218,25691,19649,48.2750197301665,36.9217182156413,"130800","0.39285593577729799","31.986469245067099","27165.4686004506"
"PAUCAR DEL SARA SARA","AYACUCHO","PARTIDO POLITICO NACIONAL PERU LIBRE",912,0.2724,6662,3397,1641,50.9906934854398,24.6322425697989,"050800","0.43551852121097701","19.007279918012099","1735.93487491204"
"PAUCARTAMBO","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",11079,0.5888,34701,16702,13142,48.1311777758566,37.8721074320625,"081100","0.24239512887728201","20.739931959422499","11139.832254045001"
"PICOTA","SAN MARTIN","PARTIDO POLITICO NACIONAL PERU LIBRE",3334,0.2065,32282,14854,9997,46.0132581624435,30.9677219503129,"220700","0.43875531362626002","9.2317755593818802","4488.2123237046899"
"PISCO","ICA","PARTIDO POLITICO NACIONAL PERU LIBRE",9915,0.1381,113169,56153,33644,49.6187118380475,29.7289893875531,"110500","0.57409095857716597","0.38671001521102699","641.58285203630999"
"PIURA","PIURA","PARTIDO POLITICO NACIONAL PERU LIBRE",24651,0.0799,578944,295884,181221,51.1075337165598,31.3019912115852,"200100","0.56893675120805998","5.7867920034221303","49772.140153513697"
"POMABAMBA","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",4188,0.4796,18920,9912,6206,52.3890063424947,32.8012684989429,"021600","0.34197098107568902","16.792090445872802","4775.33468099731"
"PUERTO INCA","HUANUCO","PARTIDO POLITICO NACIONAL PERU LIBRE",2684,0.2928,26403,11880,9529,44.9948869446654,36.0905957656327,"100900","0.38725006237958098","9.0796143175510498","3964.5227956154899"
"PUNO","PUNO","PARTIDO POLITICO NACIONAL PERU LIBRE",38295,0.3017,181612,91938,51951,50.6233068299452,28.6054886240997,"210100","0.54255907730854802","8.3364307439646907","20386.908112980502"
"PURUS","UCAYALI","PARTIDO POLITICO NACIONAL PERU LIBRE",115,0.1394,3078,1428,1020,46.3937621832359,33.1384015594542,"250400","0.34842682235896699","1.57847","78.876145899999997"
"PUTUMAYO","LORETO","PARTIDO POLITICO NACIONAL PERU LIBRE",17,0.0082,6919,3084,2544,44.5729151611505,36.7683191212603,"160800","0.39893466647989401","16.053150122213999","1762.31482041665"
"QUISPICANCHI","CUSCO","PARTIDO POLITICO NACIONAL PERU LIBRE",20937,0.5166,69608,34511,25377,49.5790713711068,36.4570164348925,"081200","0.34661605388837302","14.647969002350701","15295.1162728746"
"RECUAY","ANCASH","PARTIDO POLITICO NACIONAL PERU LIBRE",2822,0.3407,16229,8249,3953,50.8287633249122,24.3576314005792,"021700","0.42678473136720901","11.6956710511402","2494.3357650766702"
"REQUENA","LORETO","PARTIDO POLITICO NACIONAL PERU LIBRE",1082,0.0575,46230,21157,16779,45.7646549859399,36.2946138870863,"160500","0.37739834568746899","14.3281777296352","11360.955403604999"
"RIOJA","SAN MARTIN","PARTIDO POLITICO NACIONAL PERU LIBRE",16074,0.3219,99150,47429,34856,47.8356026222895,35.1548159354513,"220800","0.46839804692259301","3.8245092081892502","5812.4508495139398"
"RODRIGUEZ DE MENDOZA","AMAZONAS","PARTIDO POLITICO NACIONAL PERU LIBRE",1481,0.1603,22909,10614,6615,46.3311362346676,28.875114583788,"010600","0.366407435251007","13.3277167732224","4443.5940493600801"
"SAN ANTONIO DE PUTINA","PUNO","PARTIDO POLITICO NACIONAL PERU LIBRE",9792,0.6293,22933,11662,7811,50.8524833209785,34.0600880826756,"211000","0.49988488264675701","9.3700920047629097","2995.8058157628002"
